5.121274880322510548e-01 5.253445585281011354e-01 5.393648564495177045e-01 5.554682093527575359e-01 4.845757989592248127e-01 4.814519205432366000e-01 4.467533769822812917e-01 4.024794890919698442e-01 4.008374164098942871e-01 3.305727694422151419e-01 3.482654229339924301e-01 3.069306656695395819e-01 2.701353074805951660e-01 2.386565401301407874e-01 2.295068351858598199e-01 2.012599748400818178e-01 1.631485772802729883e-01
6.785209130850003989e-01 6.940576296329199479e-01 7.113374796062504890e-01 7.303717304184870196e-01 6.262410995092798638e-01 6.189724132915560562e-01 5.680765081101109004e-01 5.075379010420766335e-01 5.021898326910815280e-01 4.123397881388081720e-01 4.288543034595817538e-01 3.767558402314771793e-01 3.323720362912283011e-01 2.949281206470852901e-01 2.818773714653272644e-01 2.489953019249525890e-01 2.073882873472303601e-01
8.411161205550331532e-01 8.513677411583048249e-01 8.639946827361606463e-01 8.792330613702923348e-01 7.515157619643819675e-01 7.347875809352593102e-01 6.733287986329641317e-01 6.034016391900808296e-01 5.913706181845866938e-01 4.923071561190715539e-01 5.007233578301867327e-01 4.426313914470157429e-01 3.947718640710025095e-01 3.543484964000429560e-01 3.364448142077932080e-01 2.998350613758326566e-01 2.575211559318536514e-01
9.952482731293277318e-01 9.895374632596750653e-01 9.859345117511323364e-01 9.848322096084548560e-01 8.553257565272269769e-01 8.256821846573425550e-01 7.600153275938204001e-01 6.894968349232863947e-01 6.680578936851605532e-01 5.706860645853772951e-01 5.643788155543614238e-01 5.044585360857727352e-01 4.563193586688590875e-01 4.164613959714391078e-01 3.932088988642920557e-01 3.537603004479910052e-01 3.113649800930290423e-01
1.144074670740548916e+00 1.111724660753854454e+00 1.080815257003759244e+00 1.051796153945980361e+00 9.393924233131729640e-01 8.947254403299447212e-01 8.301596174431274955e-01 7.654534773435824890e-01 7.332224081716414155e-01 6.470848716816257618e-01 6.202312560457559076e-01 5.611162235176655466e-01 5.142738461447871057e-01 4.761732432637238444e-01 4.487336318695079873e-01 4.102081632656965349e-01 3.688998493887217234e-01
1.254348722760485479e+00 1.198310213940559699e+00 1.144400519119419313e+00 1.092879525380618055e+00 9.999123406901035960e-01 9.421709794616548450e-01 8.783162223047432660e-01 8.180630083387895324e-01 7.750361537608567719e-01 7.013634692635504209e-01 6.621547653022298308e-01 6.071039567888193433e-01 5.614042434634459733e-01 5.227267442801730724e-01 4.903031458916712881e-01 4.527083848407371658e-01 4.153797649741996501e-01
1.275035452566546601e+00 1.205488705889759427e+00 1.140136255938425824e+00 1.078884185197677814e+00 1.000002651904637219e+00 9.378971189962628241e-01 8.766699070373173974e-01 8.194901999510313395e-01 7.705902705205533998e-01 7.084539430499311452e-01 6.659955590709607520e-01 6.159964765694363464e-01 5.729815100675637041e-01 5.353837213955020546e-01 5.008877174733588067e-01 4.654011866322690927e-01 4.319682330367228817e-01
1.281417575535977793e+00 1.205817562153452149e+00 1.136045362603483655e+00 1.071647425144752308e+00 1.000000072910074866e+00 9.372795927937080940e-01 8.779427098561510823e-01 8.218303806124889199e-01 7.712400833750630014e-01 7.150617650139693415e-01 6.716073729525766645e-01 6.242241156202349428e-01 5.826278335377725881e-01 5.456565187155476560e-01 5.104419815002191330e-01 4.763307475019611381e-01 4.448971194663556838e-01
1.279053249850727658e+00 1.201993166593167572e+00 1.131511095681562828e+00 1.067020882597383480e+00 1.000003219280223954e+00 9.382558140135190961e-01 8.806978892372926415e-01 8.256416178316403620e-01 7.755190381752293804e-01 7.224006924262266205e-01 6.785491128999866506e-01 6.324540503755606835e-01 5.917648025662801681e-01 5.553954570679456859e-01 5.205493621107055713e-01 4.873865761009478770e-01 4.572359056955531686e-01
1.273158179421290059e+00 1.196566624751968844e+00 1.126804299148904676e+00 1.063308067786367550e+00 1.000003541187635347e+00 9.400599194949013082e-01 8.845006279679443750e-01 8.309584380150715210e-01 7.811574832832278714e-01 7.303750405944957613e-01 6.872629269947106989e-01 6.423087408991070557e-01 6.024027304808572403e-01 5.664310937977269367e-01 5.314708509613079723e-01 4.990603455465176252e-01 4.694811731581411962e-01
1.264533245673033823e+00 1.189675922522799301e+00 1.121792718957289825e+00 1.060194831959322626e+00 1.000001839584451657e+00 9.423018148522049886e-01 8.884416584408582063e-01 8.366606997025674008e-01 7.879399762908090299e-01 7.390628490961561603e-01 6.965492011664786709e-01 6.533755122808355686e-01 6.138466797541671793e-01 5.783079681148560747e-01 5.435645200782690534e-01 5.115930481100572358e-01 4.824222948498526065e-01
